gene	dir	proportion_retained	num_seqs_unaligned	num_seqs_aligned	kingdom	phylum	class	order	family	genus	species	subspecies	different_genbank_species
Abra-aequalis-COI	Bivalvia/Cardiida/Semelidae/Abra-aequalis	1.0	6	6	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	Abra aequalis		
Abra-alba-COI	Bivalvia/Cardiida/Semelidae/Abra-alba	1.0	3	3	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	Abra alba		
Abra-nitida-COI	Bivalvia/Cardiida/Semelidae/Abra-nitida	1.0	6	6	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	Abra nitida		
Abra-prismatica-COI	Bivalvia/Cardiida/Semelidae/Abra-prismatica	1.0	4	4	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	Abra prismatica		
Abyssogena-phaseoliformis-COI	Bivalvia/Venerida/Vesicomyidae/Abyssogena-phaseoliformis	1.0	4	4	Animalia	Mollusca	Bivalvia	Venerida	Vesicomyidae	Abyssogena	Abyssogena phaseoliformis		
Abyssogena-southwardae-COI	Bivalvia/Venerida/Vesicomyidae/Abyssogena-southwardae	1.0	96	96	Animalia	Mollusca	Bivalvia	Venerida	Vesicomyidae	Abyssogena	Abyssogena southwardae		
Acanthocardia-echinata-COI	Bivalvia/Cardiida/Cardiidae/Acanthocardia-echinata	1.0	11	11	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Acanthocardia	Acanthocardia echinata		
Acanthochitona-achates-COI	Polyplacophora/Chitonida/Acanthochitonidae/Acanthochitona-achates	1.0	11	11	Animalia	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae	Acanthochitona	Acanthochitona achates		
Acanthochitona-crinita-COI	Polyplacophora/Chitonida/Acanthochitonidae/Acanthochitona-crinita	1.0	12	12	Animalia	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae	Acanthochitona	Acanthochitona crinita		
Acanthochitona-defilippii-COI	Polyplacophora/Chitonida/Acanthochitonidae/Acanthochitona-defilippii	1.0	6	6	Animalia	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae	Acanthochitona	Acanthochitona defilippii		
Acanthochitona-hemphilli-COI	Polyplacophora/Chitonida/Acanthochitonidae/Acanthochitona-hemphilli	1.0	4	4	Animalia	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae	Acanthochitona	Acanthochitona hemphilli		
Acanthochitona-rubrolineata-COI	Polyplacophora/Chitonida/Acanthochitonidae/Acanthochitona-rubrolineata	1.0	3	3	Animalia	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae	Acanthochitona	Acanthochitona rubrolineata		
Acanthochitona-viridis-COI	Polyplacophora/Chitonida/Acanthochitonidae/Acanthochitona-viridis	1.0	3	3	Animalia	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae	Acanthochitona	Acanthochitona viridis		
Acanthodoris-nanaimoensis-COI	Gastropoda/Nudibranchia/Onchidorididae/Acanthodoris-nanaimoensis	1.0	3	3	Animalia	Mollusca	Gastropoda	Nudibranchia	Onchidorididae	Acanthodoris	Acanthodoris nanaimoensis		
Acanthodoris-pilosa-COI	Gastropoda/Nudibranchia/Onchidorididae/Acanthodoris-pilosa	1.0	15	15	Animalia	Mollusca	Gastropoda	Nudibranchia	Onchidorididae	Acanthodoris	Acanthodoris pilosa		
Acesta-cryptadelphe-COI	Bivalvia/Limida/Limidae/Acesta-cryptadelphe	1.0	6	6	Animalia	Mollusca	Bivalvia	Limida	Limidae	Acesta	Acesta cryptadelphe		
Acesta-mori-COI	Bivalvia/Limida/Limidae/Acesta-mori	1.0	3	3	Animalia	Mollusca	Bivalvia	Limida	Limidae	Acesta	Acesta mori		
Acesta-sphoni-COI	Bivalvia/Limida/Limidae/Acesta-sphoni	1.0	4	4	Animalia	Mollusca	Bivalvia	Limida	Limidae	Acesta	Acesta sphoni		
Acharax-johnsoni-COI	Bivalvia/Solemyida/Solemyidae/Acharax-johnsoni	1.0	3	3	Animalia	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni		
Achatina-achatina-COI	Gastropoda/Stylommatophora/Achatinidae/Achatina-achatina	1.0	6	6	Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina	Achatina achatina		
Achatina-fulica-COI	Gastropoda/Stylommatophora/Achatinidae/Achatina-fulica	1.0	5	5	Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina	Achatina fulica		
Acrosterigma-transcendens-H3	Bivalvia/Cardiida/Cardiidae/Acrosterigma-transcendens	1.0	3	3	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Acrosterigma	Acrosterigma transcendens		
Acteocina-canaliculata-COI	Gastropoda/Cephalaspidea/Tornatinidae/Acteocina-canaliculata	1.0	6	6	Animalia	Mollusca	Gastropoda	Cephalaspidea	Tornatinidae	Acteocina	Acteocina canaliculata		
Acteon-tornatilis-COI	Gastropoda/Cephalaspidea/Acteonidae/Acteon-tornatilis	1.0	10	10	Animalia	Mollusca	Gastropoda	Cephalaspidea	Acteonidae	Acteon	Acteon tornatilis		
Adamsiella-ignilabris-COI	Gastropoda/Littorinimorpha/Annulariidae/Adamsiella-ignilabris	1.0	3	3	Animalia	Mollusca	Gastropoda	Littorinimorpha	Annulariidae	Adamsiella	Adamsiella ignilabris		
Adamsiella-monstrosa-COI	Gastropoda/Littorinimorpha/Annulariidae/Adamsiella-monstrosa	1.0	3	3	Animalia	Mollusca	Gastropoda	Littorinimorpha	Annulariidae	Adamsiella	Adamsiella monstrosa		
Adamsiella-variabilis-COI	Gastropoda/Littorinimorpha/Annulariidae/Adamsiella-variabilis	1.0	3	3	Animalia	Mollusca	Gastropoda	Littorinimorpha	Annulariidae	Adamsiella	Adamsiella variabilis		
Adipicola-crypta-COI	Bivalvia/Mytilida/Mytilidae/Adipicola-crypta	1.0	14	14	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Adipicola	Adipicola crypta		Gigantidas crypta
Adipicola-iwaotakii-COI	Bivalvia/Mytilida/Mytilidae/Adipicola-iwaotakii	1.0	98	98	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Adipicola	Adipicola iwaotakii		Idas iwaotakii
Adipicola-longissima-COI	Bivalvia/Mytilida/Mytilidae/Adipicola-longissima	1.0	13	13	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Adipicola	Adipicola longissima		
Aeolidia-papillosa-COI	Gastropoda/Nudibranchia/Aeolidiidae/Aeolidia-papillosa	1.0	11	11	Animalia	Mollusca	Gastropoda	Nudibranchia	Aeolidiidae	Aeolidia	Aeolidia papillosa		
Afrocardium-exochum-H3	Bivalvia/Cardiida/Cardiidae/Afrocardium-exochum	1.0	4	4	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Afrocardium	Afrocardium exochum		
Alasmidonta-varicosa-COI	Bivalvia/Unionida/Unionidae/Alasmidonta-varicosa	1.0	3	3	Animalia	Mollusca	Bivalvia	Unionida	Unionidae	Alasmidonta	Alasmidonta varicosa		
Alcithoe-aillaudorum-COI	Gastropoda/Neogastropoda/Volutidae/Alcithoe-aillaudorum	1.0	48	48	Animalia	Mollusca	Gastropoda	Neogastropoda	Volutidae	Alcithoe	Alcithoe aillaudorum		
Alcithoe-wilsonae-COI	Gastropoda/Neogastropoda/Volutidae/Alcithoe-wilsonae	1.0	5	5	Animalia	Mollusca	Gastropoda	Neogastropoda	Volutidae	Alcithoe	Alcithoe wilsonae		
Alia-carinata-COI	Gastropoda/Neogastropoda/Columbellidae/Alia-carinata	1.0	41	41	Animalia	Mollusca	Gastropoda	Neogastropoda	Columbellidae	Alia	Alia carinata		
Alia-gausapata-COI	Gastropoda/Neogastropoda/Columbellidae/Alia-gausapata	1.0	8	8	Animalia	Mollusca	Gastropoda	Neogastropoda	Columbellidae	Alia	Alia gausapata		
Alisimitra-barazeri-COI	Gastropoda/Neogastropoda/Costellariidae/Alisimitra-barazeri	1.0	3	3	Animalia	Mollusca	Gastropoda	Neogastropoda	Costellariidae	Alisimitra	Alisimitra barazeri		
Alisimitra-tehuaorum-COI	Gastropoda/Neogastropoda/Costellariidae/Alisimitra-tehuaorum	1.0	4	4	Animalia	Mollusca	Gastropoda	Neogastropoda	Costellariidae	Alisimitra	Alisimitra tehuaorum		
Allogona-lombardii-COI	Gastropoda/Stylommatophora/Polygyridae/Allogona-lombardii	1.0	4	4	Animalia	Mollusca	Gastropoda	Stylommatophora	Polygyridae	Allogona	Allogona lombardii		
Allogona-profunda-COI	Gastropoda/Stylommatophora/Polygyridae/Allogona-profunda	1.0	5	5	Animalia	Mollusca	Gastropoda	Stylommatophora	Polygyridae	Allogona	Allogona profunda		
Alloteuthis-media-COI	Cephalopoda/Myopsida/Loliginidae/Alloteuthis-media	1.0	21	21	Animalia	Mollusca	Cephalopoda	Myopsida	Loliginidae	Alloteuthis	Alloteuthis media		
Alloteuthis-subulata-COI	Cephalopoda/Myopsida/Loliginidae/Alloteuthis-subulata	1.0	3	3	Animalia	Mollusca	Cephalopoda	Myopsida	Loliginidae	Alloteuthis	Alloteuthis subulata		
Alopia-livida-COI	Gastropoda/Stylommatophora/Clausiliidae/Alopia-livida	1.0	11	11	Animalia	Mollusca	Gastropoda	Stylommatophora	Clausiliidae	Alopia	Alopia livida		
Alopia-monacha-COI	Gastropoda/Stylommatophora/Clausiliidae/Alopia-monacha	1.0	8	8	Animalia	Mollusca	Gastropoda	Stylommatophora	Clausiliidae	Alopia	Alopia monacha	monacha	Alopia straminicollis monacha
Alvania-angioyi-COI	Gastropoda/Littorinimorpha/Rissoidae/Alvania-angioyi	1.0	6	6	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Alvania	Alvania angioyi		
Alvania-mediolittoralis-COI	Gastropoda/Littorinimorpha/Rissoidae/Alvania-mediolittoralis	1.0	5	5	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Alvania	Alvania mediolittoralis		
Alycaeus-jagori-H3	Gastropoda/Architaenioglossa/Cyclophoridae/Alycaeus-jagori	1.0	164	164	Animalia	Mollusca	Gastropoda	Architaenioglossa	Cyclophoridae	Alycaeus	Alycaeus jagori		
Alycaeus-jagori-COI	Gastropoda/Architaenioglossa/Cyclophoridae/Alycaeus-jagori	1.0	113	113	Animalia	Mollusca	Gastropoda	Architaenioglossa	Cyclophoridae	Alycaeus	Alycaeus jagori		
Amblema-plicata-COI	Bivalvia/Unionida/Unionidae/Amblema-plicata	1.0	3	3	Animalia	Mollusca	Bivalvia	Unionida	Unionidae	Amblema	Amblema plicata		
Ameritella-mitchelli-COI	Bivalvia/Cardiida/Tellinidae/Ameritella-mitchelli	1.0	19	19	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae	Ameritella	Ameritella mitchelli		
Amnicola-limosus-COI	Gastropoda/Littorinimorpha/Amnicolidae/Amnicola-limosus	1.0	26	26	Animalia	Mollusca	Gastropoda	Littorinimorpha	Amnicolidae	Amnicola	Amnicola limosus		
Amphidromus-atricallosus-COI	Gastropoda/Stylommatophora/Camaenidae/Amphidromus-atricallosus	1.0	3	3	Animalia	Mollusca	Gastropoda	Stylommatophora	Camaenidae	Amphidromus	Amphidromus atricallosus		
Amphioctopus-marginatus-COI	Cephalopoda/Octopoda/Octopodidae/Amphioctopus-marginatus	1.0	8	8	Animalia	Mollusca	Cephalopoda	Octopoda	Octopodidae	Amphioctopus	Amphioctopus marginatus		
Amphissa-columbiana-COI	Gastropoda/Neogastropoda/Columbellidae/Amphissa-columbiana	1.0	48	48	Animalia	Mollusca	Gastropoda	Neogastropoda	Columbellidae	Amphissa	Amphissa columbiana		
Anadara-transversa-COI	Bivalvia/Arcida/Arcidae/Anadara-transversa	1.0	4	4	Animalia	Mollusca	Bivalvia	Arcida	Arcidae	Anadara	Anadara transversa		
Ancilla-adelphe-COI	Gastropoda/Neogastropoda/Ancillariidae/Ancilla-adelphe	1.0	7	7	Animalia	Mollusca	Gastropoda	Neogastropoda	Ancillariidae	Ancilla	Ancilla adelphe		
Ancilla-ventricosa-COI	Gastropoda/Neogastropoda/Ancillariidae/Ancilla-ventricosa	1.0	5	5	Animalia	Mollusca	Gastropoda	Neogastropoda	Ancillariidae	Ancilla	Ancilla ventricosa		
Ancistroteuthis-lichtensteinii-COI	Cephalopoda/Oegopsida/Onychoteuthidae/Ancistroteuthis-lichtensteinii	1.0	18	18	Animalia	Mollusca	Cephalopoda	Oegopsida	Onychoteuthidae	Ancistroteuthis	Ancistroteuthis lichtensteinii		
Anguispira-alabama-CYTB	Gastropoda/Stylommatophora/Discidae/Anguispira-alabama	1.0	8	8	Animalia	Mollusca	Gastropoda	Stylommatophora	Discidae	Anguispira	Anguispira alabama		
Anguispira-alternata-COI	Gastropoda/Stylommatophora/Discidae/Anguispira-alternata	1.0	29	29	Animalia	Mollusca	Gastropoda	Stylommatophora	Discidae	Anguispira	Anguispira alternata		
Anguispira-alternata-CYTB	Gastropoda/Stylommatophora/Discidae/Anguispira-alternata	1.0	7	7	Animalia	Mollusca	Gastropoda	Stylommatophora	Discidae	Anguispira	Anguispira alternata		
Anguispira-cumberlandiana-CYTB	Gastropoda/Stylommatophora/Discidae/Anguispira-cumberlandiana	1.0	7	7	Animalia	Mollusca	Gastropoda	Stylommatophora	Discidae	Anguispira	Anguispira cumberlandiana	columba	Anguispira cumberlandiana columba
Anguispira-jessica-CYTB	Gastropoda/Stylommatophora/Discidae/Anguispira-jessica	1.0	3	3	Animalia	Mollusca	Gastropoda	Stylommatophora	Discidae	Anguispira	Anguispira jessica		
Anguispira-kochi-COI	Gastropoda/Stylommatophora/Discidae/Anguispira-kochi	1.0	15	15	Animalia	Mollusca	Gastropoda	Stylommatophora	Discidae	Anguispira	Anguispira kochi		
Anguispira-picta-CYTB	Gastropoda/Stylommatophora/Discidae/Anguispira-picta	1.0	9	9	Animalia	Mollusca	Gastropoda	Stylommatophora	Discidae	Anguispira	Anguispira picta		
Anodonta-cataracta-COI	Bivalvia/Unionida/Unionidae/Anodonta-cataracta	1.0	4	4	Animalia	Mollusca	Bivalvia	Unionida	Unionidae	Anodonta	Anodonta cataracta		Pyganodon cataracta
Antalis-entalis-COI	Scaphopoda/Dentaliida/Dentaliidae/Antalis-entalis	1.0	3	3	Animalia	Mollusca	Scaphopoda	Dentaliida	Dentaliidae	Antalis	Antalis entalis		
Aplus-assimilis-COI	Gastropoda/Neogastropoda/Pisaniidae/Aplus-assimilis	1.0	7	7	Animalia	Mollusca	Gastropoda	Neogastropoda	Pisaniidae	Aplus	Aplus assimilis		Pollia assimilis
Aplysia-punctata-COI	Gastropoda/Aplysiida/Aplysiidae/Aplysia-punctata	1.0	8	8	Animalia	Mollusca	Gastropoda	Aplysiida	Aplysiidae	Aplysia	Aplysia punctata		
Aporrhais-pespelecani-COI	Gastropoda/Littorinimorpha/Aporrhaidae/Aporrhais-pespelecani	1.0	9	9	Animalia	Mollusca	Gastropoda	Littorinimorpha	Aporrhaidae	Aporrhais	Aporrhais pespelecani		
Archachatina-marginata-COI	Gastropoda/Stylommatophora/Achatinidae/Archachatina-marginata	1.0	28	28	Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Archachatina	Archachatina marginata		
Architeuthis-dux-COI	Cephalopoda/Oegopsida/Architeuthidae/Architeuthis-dux	1.0	3	3	Animalia	Mollusca	Cephalopoda	Oegopsida	Architeuthidae	Architeuthis	Architeuthis dux		
Archivesica-gigas-ANT	Bivalvia/Venerida/Vesicomyidae/Archivesica-gigas	1.0	80	80	Animalia	Mollusca	Bivalvia	Venerida	Vesicomyidae	Archivesica	Archivesica gigas		Vesicomya gigas
Archivesica-gigas-H3	Bivalvia/Venerida/Vesicomyidae/Archivesica-gigas	1.0	65	65	Animalia	Mollusca	Bivalvia	Venerida	Vesicomyidae	Archivesica	Archivesica gigas		Vesicomya gigas
Archivesica-gigas-COI	Bivalvia/Venerida/Vesicomyidae/Archivesica-gigas	1.0	123	123	Animalia	Mollusca	Bivalvia	Venerida	Vesicomyidae	Archivesica	Archivesica gigas		Vesicomya gigas
Arctica-islandica-COIII	Bivalvia/Venerida/Arcticidae/Arctica-islandica	1.0	3	3	Animalia	Mollusca	Bivalvia	Venerida	Arcticidae	Arctica	Arctica islandica		
Arctica-islandica-COI	Bivalvia/Venerida/Arcticidae/Arctica-islandica	1.0	13	13	Animalia	Mollusca	Bivalvia	Venerida	Arcticidae	Arctica	Arctica islandica		
Arctica-islandica-COII	Bivalvia/Venerida/Arcticidae/Arctica-islandica	1.0	3	3	Animalia	Mollusca	Bivalvia	Venerida	Arcticidae	Arctica	Arctica islandica		
Arctica-islandica-ND5	Bivalvia/Venerida/Arcticidae/Arctica-islandica	1.0	3	3	Animalia	Mollusca	Bivalvia	Venerida	Arcticidae	Arctica	Arctica islandica		
Arctica-islandica-ND2	Bivalvia/Venerida/Arcticidae/Arctica-islandica	1.0	3	3	Animalia	Mollusca	Bivalvia	Venerida	Arcticidae	Arctica	Arctica islandica		
Arctica-islandica-ND4	Bivalvia/Venerida/Arcticidae/Arctica-islandica	1.0	6	6	Animalia	Mollusca	Bivalvia	Venerida	Arcticidae	Arctica	Arctica islandica		
Arctica-islandica-ND6	Bivalvia/Venerida/Arcticidae/Arctica-islandica	1.0	3	3	Animalia	Mollusca	Bivalvia	Venerida	Arcticidae	Arctica	Arctica islandica		
Arctica-islandica-ATP6	Bivalvia/Venerida/Arcticidae/Arctica-islandica	1.0	3	3	Animalia	Mollusca	Bivalvia	Venerida	Arcticidae	Arctica	Arctica islandica		
Arctica-islandica-ND3	Bivalvia/Venerida/Arcticidae/Arctica-islandica	1.0	3	3	Animalia	Mollusca	Bivalvia	Venerida	Arcticidae	Arctica	Arctica islandica		
Arctica-islandica-ND1	Bivalvia/Venerida/Arcticidae/Arctica-islandica	1.0	3	3	Animalia	Mollusca	Bivalvia	Venerida	Arcticidae	Arctica	Arctica islandica		
Arctica-islandica-H3	Bivalvia/Venerida/Arcticidae/Arctica-islandica	1.0	5	5	Animalia	Mollusca	Bivalvia	Venerida	Arcticidae	Arctica	Arctica islandica		
Arcuatula-papyria-COI	Bivalvia/Mytilida/Mytilidae/Arcuatula-papyria	1.0	7	7	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Arcuatula	Arcuatula papyria		
Ariadnaria-borealis-COI	Gastropoda/Littorinimorpha/Capulidae/Ariadnaria-borealis	1.0	3	3	Animalia	Mollusca	Gastropoda	Littorinimorpha	Capulidae	Ariadnaria	Ariadnaria borealis		
Ariadnaria-insignis-COI	Gastropoda/Littorinimorpha/Capulidae/Ariadnaria-insignis	1.0	12	12	Animalia	Mollusca	Gastropoda	Littorinimorpha	Capulidae	Ariadnaria	Ariadnaria insignis		Trichotropis insignis
Ariolimax-columbianus-COI	Gastropoda/Stylommatophora/Ariolimacidae/Ariolimax-columbianus	1.0	5	5	Animalia	Mollusca	Gastropoda	Stylommatophora	Ariolimacidae	Ariolimax	Ariolimax columbianus		Stylommatophora sp. BOLD:AAV0530
Arion-ater-COI	Gastropoda/Stylommatophora/Arionidae/Arion-ater	1.0	3	3	Animalia	Mollusca	Gastropoda	Stylommatophora	Arionidae	Arion	Arion ater		
Arion-circumscriptus-COI	Gastropoda/Stylommatophora/Arionidae/Arion-circumscriptus	1.0	8	8	Animalia	Mollusca	Gastropoda	Stylommatophora	Arionidae	Arion	Arion circumscriptus		
Arion-distinctus-COI	Gastropoda/Stylommatophora/Arionidae/Arion-distinctus	1.0	34	34	Animalia	Mollusca	Gastropoda	Stylommatophora	Arionidae	Arion	Arion distinctus		Arion sp. BOLD:AAC0783
Arion-fasciatus-COI	Gastropoda/Stylommatophora/Arionidae/Arion-fasciatus	1.0	23	23	Animalia	Mollusca	Gastropoda	Stylommatophora	Arionidae	Arion	Arion fasciatus		
Arion-fuscus-COI	Gastropoda/Stylommatophora/Arionidae/Arion-fuscus	1.0	317	317	Animalia	Mollusca	Gastropoda	Stylommatophora	Arionidae	Arion	Arion fuscus		
Arion-rufus-COI	Gastropoda/Stylommatophora/Arionidae/Arion-rufus	1.0	6	6	Animalia	Mollusca	Gastropoda	Stylommatophora	Arionidae	Arion	Arion rufus		
Arion-silvaticus-COI	Gastropoda/Stylommatophora/Arionidae/Arion-silvaticus	1.0	6	6	Animalia	Mollusca	Gastropoda	Stylommatophora	Arionidae	Arion	Arion silvaticus		
Arion-subfuscus-COI	Gastropoda/Stylommatophora/Arionidae/Arion-subfuscus	1.0	325	325	Animalia	Mollusca	Gastropoda	Stylommatophora	Arionidae	Arion	Arion subfuscus		
Arion-vulgaris-COI	Gastropoda/Stylommatophora/Arionidae/Arion-vulgaris	1.0	3	3	Animalia	Mollusca	Gastropoda	Stylommatophora	Arionidae	Arion	Arion vulgaris		
Ariophanta-lahatensis-COI	Gastropoda/Stylommatophora/Ariophantidae/Ariophanta-lahatensis	1.0	5	5	Animalia	Mollusca	Gastropoda	Stylommatophora	Ariophantidae	Ariophanta	Ariophanta lahatensis		
Armina-californica-COI	Gastropoda/Nudibranchia/Arminidae/Armina-californica	1.0	4	4	Animalia	Mollusca	Gastropoda	Nudibranchia	Arminidae	Armina	Armina californica		
Armina-maculata-COI	Gastropoda/Nudibranchia/Arminidae/Armina-maculata	1.0	3	3	Animalia	Mollusca	Gastropoda	Nudibranchia	Arminidae	Armina	Armina maculata		
Arvella-faba-COI	Bivalvia/Mytilida/Mytilidae/Arvella-faba	1.0	48	48	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Arvella	Arvella faba		Crenella faba
Asperoteuthis-lui-COI	Cephalopoda/Oegopsida/Chiroteuthidae/Asperoteuthis-lui	1.0	8	8	Animalia	Mollusca	Cephalopoda	Oegopsida	Chiroteuthidae	Asperoteuthis	Asperoteuthis lui		
Astarte-montagui-COI	Bivalvia/Carditida/Astartidae/Astarte-montagui	1.0	20	20	Animalia	Mollusca	Bivalvia	Carditida	Astartidae	Astarte	Astarte montagui		
Astarte-sulcata-COI	Bivalvia/Carditida/Astartidae/Astarte-sulcata	1.0	5	5	Animalia	Mollusca	Bivalvia	Carditida	Astartidae	Astarte	Astarte sulcata		
Astyris-lunata-COI	Gastropoda/Neogastropoda/Columbellidae/Astyris-lunata	1.0	12	12	Animalia	Mollusca	Gastropoda	Neogastropoda	Columbellidae	Astyris	Astyris lunata		
Atlanta-ariejansseni-COI	Gastropoda/Littorinimorpha/Atlantidae/Atlanta-ariejansseni	1.0	17	17	Animalia	Mollusca	Gastropoda	Littorinimorpha	Atlantidae	Atlanta	Atlanta ariejansseni		
Atlanta-gaudichaudi-COI	Gastropoda/Littorinimorpha/Atlantidae/Atlanta-gaudichaudi	1.0	3	3	Animalia	Mollusca	Gastropoda	Littorinimorpha	Atlantidae	Atlanta	Atlanta gaudichaudi		
Atlanta-inclinata-COI	Gastropoda/Littorinimorpha/Atlantidae/Atlanta-inclinata	1.0	6	6	Animalia	Mollusca	Gastropoda	Littorinimorpha	Atlantidae	Atlanta	Atlanta inclinata		
Atlanta-peronii-COI	Gastropoda/Littorinimorpha/Atlantidae/Atlanta-peronii	1.0	3	3	Animalia	Mollusca	Gastropoda	Littorinimorpha	Atlantidae	Atlanta	Atlanta peronii		
Atlanta-selvagensis-COI	Gastropoda/Littorinimorpha/Atlantidae/Atlanta-selvagensis	1.0	5	5	Animalia	Mollusca	Gastropoda	Littorinimorpha	Atlantidae	Atlanta	Atlanta selvagensis		
Atrina-pectinata-COI	Bivalvia/Ostreida/Pinnidae/Atrina-pectinata	1.0	3	3	Animalia	Mollusca	Bivalvia	Ostreida	Pinnidae	Atrina	Atrina pectinata		
Austrofusus-glans-COI	Gastropoda/Neogastropoda/Buccinidae/Austrofusus-glans	1.0	3	3	Animalia	Mollusca	Gastropoda	Neogastropoda	Buccinidae	Austrofusus	Austrofusus glans		
Austrovenus-stutchburyi-COI	Bivalvia/Venerida/Veneridae/Austrovenus-stutchburyi	1.0	409	409	Animalia	Mollusca	Bivalvia	Venerida	Veneridae	Austrovenus	Austrovenus stutchburyi		
Axinopsida-orbiculata-COI	Bivalvia/Lucinida/Thyasiridae/Axinopsida-orbiculata	1.0	4	4	Animalia	Mollusca	Bivalvia	Lucinida	Thyasiridae	Axinopsida	Axinopsida orbiculata		
Axinopsida-serricata-COI	Bivalvia/Lucinida/Thyasiridae/Axinopsida-serricata	1.0	3	3	Animalia	Mollusca	Bivalvia	Lucinida	Thyasiridae	Axinopsida	Axinopsida serricata		
Axymene-traversi-COI	Gastropoda/Neogastropoda/Muricidae/Axymene-traversi	1.0	3	3	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Axymene	Axymene traversi		
Babylonia-lutosa-COI	Gastropoda/Neogastropoda/Babyloniidae/Babylonia-lutosa	1.0	3	3	Animalia	Mollusca	Gastropoda	Neogastropoda	Babyloniidae	Babylonia	Babylonia lutosa		
Babylonia-spirata-COI	Gastropoda/Neogastropoda/Babyloniidae/Babylonia-spirata	1.0	3	3	Animalia	Mollusca	Gastropoda	Neogastropoda	Babyloniidae	Babylonia	Babylonia spirata		
Babylonia-zeylanica-COI	Gastropoda/Neogastropoda/Babyloniidae/Babylonia-zeylanica	1.0	3	3	Animalia	Mollusca	Gastropoda	Neogastropoda	Babyloniidae	Babylonia	Babylonia zeylanica		
Baicalia-carinatocostata-COI	Gastropoda/Littorinimorpha/Amnicolidae/Baicalia-carinatocostata	1.0	15	15	Animalia	Mollusca	Gastropoda	Littorinimorpha	Amnicolidae	Baicalia	Baicalia carinatocostata		
Baicalia-turriformis-COI	Gastropoda/Littorinimorpha/Amnicolidae/Baicalia-turriformis	1.0	10	10	Animalia	Mollusca	Gastropoda	Littorinimorpha	Amnicolidae	Baicalia	Baicalia turriformis		
Basedowena-elfina-COI	Gastropoda/Stylommatophora/Camaenidae/Basedowena-elfina	1.0	3	3	Animalia	Mollusca	Gastropoda	Stylommatophora	Camaenidae	Basedowena	Basedowena elfina		
Bathyarca-glacialis-COI	Bivalvia/Arcida/Arcidae/Bathyarca-glacialis	1.0	7	7	Animalia	Mollusca	Bivalvia	Arcida	Arcidae	Bathyarca	Bathyarca glacialis		
Bathyarca-pectunculoides-COI	Bivalvia/Arcida/Arcidae/Bathyarca-pectunculoides	1.0	4	4	Animalia	Mollusca	Bivalvia	Arcida	Arcidae	Bathyarca	Bathyarca pectunculoides		
Bathymodiolus-antarcticus-COI	Bivalvia/Mytilida/Mytilidae/Bathymodiolus-antarcticus	1.0	28	28	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Bathymodiolus	Bathymodiolus antarcticus		
Bathymodiolus-antarcticus-EF1A	Bivalvia/Mytilida/Mytilidae/Bathymodiolus-antarcticus	1.0	110	110	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Bathymodiolus	Bathymodiolus antarcticus		
Bathymodiolus-antarcticus-SAHH	Bivalvia/Mytilida/Mytilidae/Bathymodiolus-antarcticus	1.0	104	104	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Bathymodiolus	Bathymodiolus antarcticus		
Bathymodiolus-antarcticus-COL	Bivalvia/Mytilida/Mytilidae/Bathymodiolus-antarcticus	1.0	100	100	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Bathymodiolus	Bathymodiolus antarcticus		
Bathymodiolus-azoricus-COI	Bivalvia/Mytilida/Mytilidae/Bathymodiolus-azoricus	1.0	16	16	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Bathymodiolus	Bathymodiolus azoricus		
Bathymodiolus-boomerang-COI	Bivalvia/Mytilida/Mytilidae/Bathymodiolus-boomerang	1.0	58	58	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Bathymodiolus	Bathymodiolus boomerang		
