gene	dir	proportion_retained	num_seqs_unaligned	num_seqs_aligned	kingdom	phylum	class	order	family	genus	species	subspecies	different_genbank_species
Pyrgulopsis-kolobensis-COI	Gastropoda/Littorinimorpha/Hydrobiidae/Pyrgulopsis-kolobensis	1.0	9	9	Animalia	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae	Pyrgulopsis	Pyrgulopsis kolobensis		
Pyrgulopsis-licina-COI	Gastropoda/Littorinimorpha/Hydrobiidae/Pyrgulopsis-licina	1.0	5	5	Animalia	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae	Pyrgulopsis	Pyrgulopsis licina		Pyrgulopsis micrococcus
Pyrgulopsis-licina-ND1	Gastropoda/Littorinimorpha/Hydrobiidae/Pyrgulopsis-licina	1.0	3	3	Animalia	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae	Pyrgulopsis	Pyrgulopsis licina		Pyrgulopsis micrococcus
Pyrgulopsis-perforata-COI	Gastropoda/Littorinimorpha/Hydrobiidae/Pyrgulopsis-perforata	1.0	3	3	Animalia	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae	Pyrgulopsis	Pyrgulopsis perforata		Pyrgulopsis micrococcus
Pyrgulopsis-perforata-ND1	Gastropoda/Littorinimorpha/Hydrobiidae/Pyrgulopsis-perforata	1.0	5	5	Animalia	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae	Pyrgulopsis	Pyrgulopsis perforata		Pyrgulopsis micrococcus
Pyrgulopsis-turbatrix-COI	Gastropoda/Littorinimorpha/Hydrobiidae/Pyrgulopsis-turbatrix	1.0	7	7	Animalia	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae	Pyrgulopsis	Pyrgulopsis turbatrix		Pyrgulopsis micrococcus
Quistrachia-herberti-COI	Gastropoda/Stylommatophora/Camaenidae/Quistrachia-herberti	1.0	4	4	Animalia	Mollusca	Gastropoda	Stylommatophora	Camaenidae	Quistrachia	Quistrachia herberti		
Quistrachia-lefroyi-COI	Gastropoda/Stylommatophora/Camaenidae/Quistrachia-lefroyi	1.0	15	15	Animalia	Mollusca	Gastropoda	Stylommatophora	Camaenidae	Quistrachia	Quistrachia lefroyi		
Quistrachia-legendrei-COI	Gastropoda/Stylommatophora/Camaenidae/Quistrachia-legendrei	1.0	4	4	Animalia	Mollusca	Gastropoda	Stylommatophora	Camaenidae	Quistrachia	Quistrachia legendrei		
Quistrachia-leptogramma-COI	Gastropoda/Stylommatophora/Camaenidae/Quistrachia-leptogramma	1.0	3	3	Animalia	Mollusca	Gastropoda	Stylommatophora	Camaenidae	Quistrachia	Quistrachia leptogramma		
Quistrachia-turneri-COI	Gastropoda/Stylommatophora/Camaenidae/Quistrachia-turneri	1.0	22	22	Animalia	Mollusca	Gastropoda	Stylommatophora	Camaenidae	Quistrachia	Quistrachia turneri		
Quistrachia-warroorana-COI	Gastropoda/Stylommatophora/Camaenidae/Quistrachia-warroorana	1.0	6	6	Animalia	Mollusca	Gastropoda	Stylommatophora	Camaenidae	Quistrachia	Quistrachia warroorana		
Radiatula-khadakvaslaensis-COI	Bivalvia/Unionida/Unionidae/Radiatula-khadakvaslaensis	1.0	4	4	Animalia	Mollusca	Bivalvia	Unionida	Unionidae	Radiatula	Radiatula khadakvaslaensis		Lamellidens corrianus
Rangia-cuneata-COI	Bivalvia/Venerida/Mactridae/Rangia-cuneata	1.0	4	4	Animalia	Mollusca	Bivalvia	Venerida	Mactridae	Rangia	Rangia cuneata		
Rapana-venosa-COI	Gastropoda/Neogastropoda/Muricidae/Rapana-venosa	1.0	6	6	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Rapana	Rapana venosa		
Raphitoma-aequalis-COI	Gastropoda/Neogastropoda/Raphitomidae/Raphitoma-aequalis	1.0	4	4	Animalia	Mollusca	Gastropoda	Neogastropoda	Raphitomidae	Raphitoma	Raphitoma aequalis		
Raphitoma-aequalis-H3	Gastropoda/Neogastropoda/Raphitomidae/Raphitoma-aequalis	1.0	3	3	Animalia	Mollusca	Gastropoda	Neogastropoda	Raphitomidae	Raphitoma	Raphitoma aequalis		
Raphitoma-concinna-COI	Gastropoda/Neogastropoda/Raphitomidae/Raphitoma-concinna	1.0	3	3	Animalia	Mollusca	Gastropoda	Neogastropoda	Raphitomidae	Raphitoma	Raphitoma concinna		
