phylogatr_id	accession	source_id	latitude	longitude	basis_of_record	coordinate_uncertainty_in_meters	issue	flag
KF950120_1145223752	KF950120	1145223752	59.2663593014	-135.6050538785	PRESERVED_SPECIMEN	50	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED	""
KF950237_1145254486	KF950237	1145254486	55.4681250187	-133.4272600281	PRESERVED_SPECIMEN	1000	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED	""
KF950281_1145223752	KF950281	1145223752	59.2663593014	-135.6050538785	PRESERVED_SPECIMEN	50	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED	""
KF950282_1145223752	KF950282	1145223752	59.2663593014	-135.6050538785	PRESERVED_SPECIMEN	50	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED	""
KF950295_1145254486	KF950295	1145254486	55.4681250187	-133.4272600281	PRESERVED_SPECIMEN	1000	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED	""
KF950296_1145254486	KF950296	1145254486	55.4681250187	-133.4272600281	PRESERVED_SPECIMEN	1000	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED	""
KF950433_1145223752	KF950433	1145223752	59.2663593014	-135.6050538785	PRESERVED_SPECIMEN	50	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED	""
KF950434_1145223752	KF950434	1145223752	59.2663593014	-135.6050538785	PRESERVED_SPECIMEN	50	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED	""
KF950443_1145254486	KF950443	1145254486	55.4681250187	-133.4272600281	PRESERVED_SPECIMEN	1000	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED	""
KF950444_1145254486	KF950444	1145254486	55.4681250187	-133.4272600281	PRESERVED_SPECIMEN	1000	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED	""
00000000_VTCOL012-16		VTCOL012-16	57.5315	-130.202				
00000000_ABMGH006-09		ABMGH006-09	52.58	-131.57				
00000000_VTCOL011-16		VTCOL011-16	57.5315	-130.202				
00000000_NEONU1673-13		NEONU1673-13	40.371	-105.614				
00000000_CNPVT031-16		CNPVT031-16	53.1243	-117.775				
00000000_VTCOL013-16		VTCOL013-16	57.5315	-130.202				
